1000 3022
421 78 1
633 441 1
847 633 1
633 237 1
633 852 1
633 290 1
432 617 1
152 633 1
689 692 1
894 8 1
633 64 1
581 845 1
633 214 1
325 311 1
143 159 1
121 633 1
177 631 1
449 683 1
353 428 1
980 159 1
70 738 1
667 787 1
633 67 1
618 454 1
320 159 1
323 889 1
633 374 1
173 159 1
130 671 1
132 159 1
433 159 1
98 369 1
560 159 1
431 508 1
633 302 1
8 428 1
1000 633 1
996 873 1
635 633 1
633 849 1
633 718 1
175 231 1
498 159 1
703 675 1
238 163 1
633 582 1
188 633 1
426 272 1
638 446 1
938 101 1
633 907 1
82 834 1
239 159 1
42 219 1
609 982 1
327 159 1
988 203 1
739 14 1
957 951 1
794 806 1
633 951 1
154 413 1
463 168 1
633 573 1
604 282 1
420 633 1
948 59 1
962 468 1
335 159 1
786 980 1
365 633 1
432 300 1
417 872 1
655 435 1
199 459 1
633 31 1
633 991 1
996 159 1
426 425 1
999 372 1
633 615 1
288 633 1
813 500 1
742 53 1
784 159 1
246 633 1
958 444 1
406 78 1
822 437 1
155 98 1
6 883 1
832 12 1
853 633 1
182 37 1
941 599 1
729 629 1
956 633 1
577 633 1
796 98 1
410 780 1
633 784 1
633 226 1
410 25 1
977 159 1
633 721 1
926 748 1
633 672 1
268 479 1
350 633 1
931 159 1
633 265 1
633 137 1
86 370 1
265 407 1
648 159 1
958 374 1
383 633 1
633 955 1
693 997 1
633 18 1
44 411 1
655 388 1
357 159 1
2 633 1
67 159 1
862 159 1
698 633 1
784 400 1
480 159 1
633 498 1
936 762 1
18 159 1
633 754 1
814 586 1
505 633 1
636 342 1
527 633 1
877 633 1
662 742 1
404 411 1
202 662 1
827 791 1
566 25 1
340 813 1
596 159 1
633 664 1
104 159 1
576 159 1
575 159 1
579 159 1
633 225 1
317 159 1
149 633 1
146 858 1
426 159 1
202 61 1
983 855 1
30 633 1
633 176 1
329 835 1
746 159 1
123 159 1
495 207 1
41 159 1
943 633 1
633 260 1
961 181 1
974 159 1
649 646 1
911 500 1
864 28 1
317 18 1
344 633 1
298 359 1
817 487 1
272 214 1
901 159 1
661 490 1
633 999 1
76 412 1
85 569 1
941 572 1
160 159 1
269 159 1
891 855 1
633 924 1
150 159 1
449 190 1
874 987 1
604 189 1
456 749 1
294 960 1
505 159 1
581 247 1
887 633 1
802 895 1
633 241 1
633 445 1
697 578 1
180 646 1
38 540 1
840 440 1
84 649 1
659 159 1
521 127 1
633 950 1
820 201 1
825 439 1
701 54 1
771 1000 1
425 633 1
952 633 1
220 159 1
130 633 1
292 633 1
975 636 1
2 159 1
303 510 1
134 159 1
160 791 1
751 58 1
905 733 1
633 229 1
633 105 1
150 97 1
111 503 1
876 159 1
633 578 1
757 265 1
307 166 1
832 159 1
633 228 1
729 924 1
270 633 1
876 924 1
299 718 1
633 860 1
633 858 1
633 706 1
633 736 1
454 921 1
380 371 1
633 675 1
971 706 1
837 567 1
680 884 1
633 60 1
799 413 1
297 8 1
633 363 1
923 25 1
165 102 1
599 738 1
848 242 1
459 359 1
242 561 1
248 633 1
423 159 1
817 633 1
329 633 1
839 30 1
229 159 1
633 423 1
633 827 1
82 204 1
956 59 1
271 159 1
380 187 1
222 633 1
207 159 1
238 568 1
5 633 1
70 226 1
50 803 1
772 159 1
13 633 1
65 633 1
356 159 1
878 160 1
625 633 1
286 633 1
633 514 1
173 969 1
790 229 1
13 781 1
633 122 1
497 633 1
276 736 1
692 633 1
96 159 1
795 305 1
963 159 1
633 354 1
633 468 1
689 78 1
158 114 1
384 114 1
343 151 1
633 510 1
858 159 1
344 810 1
728 998 1
190 238 1
485 159 1
946 193 1
482 474 1
633 440 1
279 159 1
545 192 1
335 45 1
741 643 1
627 54 1
633 976 1
633 369 1
925 401 1
486 159 1
332 869 1
496 633 1
819 55 1
230 159 1
443 201 1
637 714 1
633 762 1
235 617 1
633 352 1
283 159 1
790 978 1
387 550 1
233 522 1
799 633 1
597 633 1
633 127 1
633 333 1
539 310 1
684 601 1
174 15 1
200 990 1
347 351 1
689 159 1
595 633 1
759 984 1
587 953 1
686 633 1
726 363 1
329 865 1
777 159 1
681 189 1
128 98 1
102 159 1
559 159 1
946 293 1
633 523 1
76 678 1
742 485 1
694 721 1
558 277 1
116 282 1
684 633 1
633 984 1
472 998 1
769 884 1
814 159 1
702 995 1
473 159 1
633 466 1
786 897 1
224 159 1
631 318 1
693 633 1
698 57 1
588 633 1
552 159 1
395 159 1
281 159 1
930 159 1
114 387 1
967 183 1
433 247 1
680 770 1
780 159 1
219 372 1
439 965 1
609 272 1
553 819 1
986 159 1
674 159 1
130 98 1
23 633 1
621 300 1
492 228 1
503 936 1
896 633 1
935 493 1
799 734 1
764 6 1
353 547 1
245 13 1
902 159 1
281 201 1
633 403 1
775 633 1
340 216 1
591 532 1
381 432 1
536 633 1
604 514 1
13 10 1
633 568 1
897 633 1
595 159 1
802 849 1
50 159 1
766 996 1
343 248 1
617 438 1
633 215 1
944 568 1
533 708 1
689 382 1
874 633 1
380 2 1
605 784 1
807 841 1
386 633 1
892 633 1
633 726 1
39 149 1
633 598 1
873 756 1
358 243 1
633 729 1
633 373 1
702 159 1
452 159 1
717 377 1
985 678 1
622 159 1
665 159 1
1 899 1
236 633 1
797 399 1
633 809 1
2 831 1
521 159 1
386 999 1
988 834 1
105 525 1
633 681 1
999 498 1
744 732 1
210 565 1
432 633 1
740 223 1
980 882 1
592 356 1
484 159 1
633 620 1
273 389 1
536 434 1
979 412 1
306 552 1
281 457 1
587 177 1
817 400 1
337 734 1
260 159 1
336 159 1
829 769 1
696 159 1
339 633 1
633 207 1
704 832 1
30 523 1
68 310 1
40 159 1
546 269 1
938 757 1
93 360 1
821 868 1
633 884 1
255 159 1
149 69 1
954 904 1
420 920 1
898 852 1
295 159 1
996 633 1
773 831 1
268 70 1
633 453 1
795 626 1
797 269 1
480 633 1
909 159 1
424 94 1
633 428 1
692 159 1
689 633 1
620 159 1
542 500 1
99 540 1
115 251 1
866 159 1
85 650 1
810 159 1
985 633 1
461 159 1
982 128 1
182 622 1
171 711 1
633 714 1
553 852 1
633 490 1
989 691 1
308 159 1
633 348 1
884 159 1
763 166 1
633 45 1
402 67 1
829 415 1
35 159 1
633 303 1
839 565 1
497 201 1
685 73 1
944 159 1
185 633 1
833 33 1
46 159 1
578 557 1
826 809 1
222 834 1
830 633 1
683 290 1
305 159 1
512 791 1
136 272 1
963 633 1
529 912 1
633 196 1
222 274 1
633 910 1
708 180 1
633 931 1
136 602 1
633 575 1
212 555 1
553 473 1
633 332 1
766 332 1
5 331 1
118 84 1
424 633 1
394 159 1
619 633 1
937 114 1
402 370 1
144 76 1
172 633 1
633 601 1
633 271 1
916 159 1
802 159 1
101 135 1
793 159 1
712 633 1
299 159 1
812 377 1
556 389 1
468 159 1
947 159 1
999 133 1
873 554 1
451 633 1
540 374 1
633 312 1
397 159 1
171 993 1
633 300 1
894 217 1
519 633 1
633 157 1
392 633 1
886 633 1
255 633 1
799 879 1
914 159 1
798 633 1
881 665 1
63 837 1
797 519 1
34 159 1
559 138 1
777 15 1
189 159 1
625 135 1
698 159 1
109 657 1
664 484 1
633 828 1
151 745 1
296 159 1
779 633 1
333 352 1
633 160 1
368 920 1
458 992 1
62 33 1
651 159 1
386 159 1
633 542 1
633 439 1
205 633 1
895 924 1
583 986 1
765 159 1
180 159 1
382 37 1
984 421 1
612 494 1
295 633 1
647 633 1
635 338 1
837 247 1
828 388 1
948 633 1
887 538 1
479 748 1
182 590 1
235 159 1
633 663 1
44 159 1
941 633 1
153 248 1
974 536 1
633 551 1
59 159 1
923 83 1
219 917 1
104 666 1
630 159 1
182 346 1
569 159 1
408 73 1
15 745 1
664 26 1
989 271 1
415 982 1
548 633 1
457 633 1
499 407 1
915 107 1
228 159 1
793 510 1
658 159 1
84 159 1
177 633 1
30 951 1
124 159 1
413 633 1
898 159 1
848 239 1
631 476 1
230 412 1
93 896 1
906 800 1
287 159 1
545 159 1
18 748 1
85 984 1
996 251 1
115 102 1
311 207 1
877 417 1
655 633 1
759 633 1
965 159 1
628 633 1
988 650 1
887 229 1
310 633 1
613 49 1
840 603 1
17 243 1
570 835 1
438 951 1
658 737 1
658 5 1
633 857 1
309 649 1
258 446 1
